step,q,dq,qr,tau,r_pos,r_vel,th,dth
34,"[[-0.5520908048434725], [1.153088799074938], [-0.4974778686367745]]","[[-0.08646022910172085], [-0.004068192181111124], [0.104188111815419]]","[[-0.5516179307637548], [0.9777238046593167], [-0.5117903721186434]]","[[-1.6488072920613175], [-22.116620658087594], [-2.5374164116088096]]","[[0.9991478767111883], [0.8352538495604916]]","[[0.006759974290837523], [3.3646188213332096e-05]]",[[0.1035201255946915]],[[0.013659690532587051]]
35,"[[-0.5529640403378068], [1.1530428722961084], [-0.4964386768093798]]","[[-0.08564611020827823], [-0.005147285518691758], [0.10328090459076883]]","[[-0.5523459872167118], [0.9774764554379823], [-0.5112700900808692]]","[[-1.6505318394895037], [-22.142842125878254], [-2.6063564090955653]]","[[0.9998184484646687], [0.835258172561786]]","[[0.006656790754222541], [5.116537751259642e-05]]",[[0.10364015514892225]],[[0.012487508863798838]]
36,"[[-0.5538287406707573], [1.1529865284042553], [-0.4954088381730727]]","[[-0.08479808356362536], [-0.00615307331777773], [0.10232725867603493]]","[[-0.5530619972726387], [0.9772313752054035], [-0.5107472814611307]]","[[-1.6518309269840465], [-22.167830525940232], [-2.6730523172274774]]","[[1.0004786923703197], [0.8352641777316347]]","[[0.006553492063710031], [6.737199632622648e-05]]",[[0.10374894956042674]],[[0.01137610179577059]]
37,"[[-0.5546845850693559], [1.1529204820701056], [-0.49438879463847807]]","[[-0.08391938068491805], [-0.007089094766490001], [0.10133135654181379]]","[[-0.5537660222800841], [0.9769886830883624], [-0.5102225934475391]]","[[-1.6527295208285264], [-22.191637169761616], [-2.7375763773871515]]","[[1.0011286040393443], [0.8352717377173045]]","[[0.006450208416186598], [8.234003588958316e-05]]",[[0.1038471023622719]],[[0.010322881089267075]]
38,"[[-0.5555312843433152], [1.1528454133089598], [-0.49337894739602783]]","[[-0.08301305966767951], [-0.00795874983042874], [0.10029716823277805]]","[[-0.5544581350443192], [0.9767484847356874], [-0.509696637484003]]","[[-1.653251591548696], [-22.21431182802232], [-2.799999476094932]]","[[1.0017681916716603], [0.8352807323721168]]","[[0.00634706206377178], [9.613981719613918e-05]]",[[0.10393518156961715]],[[0.009325358735808528]]
39,"[[-0.5563685791755307], [1.1527619688500077], [-0.49237965900200686]]","[[-0.08208201261083546], [-0.008765303433344196], [0.0992284589499061]]","[[-0.5551384189141264], [0.9765108732033542], [-0.5091699905570637]]","[[-1.6534201403773925], [-22.23590274995183], [-2.8603910988028796]]","[[1.0023974752769333], [0.8352910483963737]]","[[0.006244167602376116], [0.00010883814319795349]]",[[0.10401373067247051]],[[0.008381142905726438]]
40,"[[-0.5571962384862941], [1.1526707634643665], [-0.49139125538970474]]","[[-0.08112897277992538], [-0.009511889571612558], [0.09812879644387523]]","[[-0.5558069669172971], [0.9762759297971255], [-0.5086431964583572]]","[[-1.653257225763511], [-22.256456683029334], [-2.91881929173932]]","[[1.0030164859242892], [0.8353025789933526]]","[[0.006141632256539964], [0.00012049844794193021]]",[[0.10408326958836706]],[[0.007487934092337296]]
41,"[[-0.5580140578683663], [1.1525723812522348], [-0.49041402780688065]]","[[-0.08015652149788884], [-0.010201515382507631], [0.0970015583307544]]","[[-0.5564638809412769], [0.9760437248737901], [-0.5081167670221065]]","[[-1.652783989457571], [-22.276018893895507], [-2.9753506283592532]]","[[1.0036252650203268], [0.8353152235400605]]","[[0.0060395561608972415], [0.00013118094249753298]]",[[0.10414429557698829]],[[0.0066435214503579275]]
42,"[[-0.5588218580901407], [1.1524673768896019], [-0.4894482346808327]]","[[-0.07916709476373157], [-0.010837065161589193], [0.09584993924361089]]","[[-0.5571092709574951], [0.9758143186021669], [-0.5075911833371812]]","[[-1.6520206823490708], [-22.294633189943376], [-3.030050182662058]]","[[1.0042238636150187], [0.8353288872723935]]","[[0.005938032636554347], [0.00014094275733178563]]",[[0.10419728411863018]],[[0.005845779319428935]]
43,"[[-0.559619483664266], [1.1523562768350315], [-0.4884941034124847]]","[[-0.07816298960546025], [-0.011421304349695766], [0.09467695787003694]]","[[-0.5577432542881884], [0.9755877616849878], [-0.5070668969332351]]","[[-1.650986689760969], [-22.3123419422145], [-3.082981507027821]]","[[1.0048123417350505], [0.8353434809843236]]","[[0.0058371484636055015], [0.00014983808047652758]]",[[0.1042426897582801]],[[0.0050926639148809235]]
44,"[[-0.5604068014792594], [1.1522395804971615], [-0.4875518321009601]]","[[-0.07714637020942541], [-0.011956883423097281], [0.09348546380606892]]","[[-0.5583659549133942], [0.9753640960427458], [-0.5065443309404956]]","[[-1.6497005569969243], [-22.329186108362475], [-3.13420661551969]]","[[1.0053907677441123], [0.8353589207407137]]","[[0.005736984148008162], [0.00015791829186539985]]",[[0.10428094691694273]],[[0.004382210174684929]]
45,"[[-0.5611836994916513], [1.1521177613635298], [-0.4866215912000955]]","[[-0.07611927378906334], [-0.012446341754804191], [0.09227814430733791]]","[[-0.5589775028163702], [0.9751433554609586], [-0.5060238812228943]]","[[-1.6481800139368068], [-22.345205257176907], [-3.1837859717687307]]","[[1.0059592177296324], [0.8353751276033393]]","[[0.005637614183662265], [0.00016523209341867684]]",[[0.10431247067178004]],[[0.0037125287600542727]]
46,"[[-0.5619500854763916], [1.1519912680914846], [-0.4857035251085932]]","[[-0.07508361627402681], [-0.012892111337870243], [0.09105753079941317]]","[[-0.5595780333663304], [0.9749255662019893], [-0.505505917484246]]","[[-1.6464419999840891], [-22.360437593007312], [-3.2317784812361605]]","[[1.006517774915416], [0.8353920273696893]]","[[0.005539107308849545], [0.0001718256346094904]]",[[0.10433765750649977]],[[0.0030818031852386883]]
47,"[[-0.5627058858332128], [1.1518605255618652], [-0.484797753695254]]","[[-0.07404119772173366], [-0.01329652051380148], [0.08982600533070408]]","[[-0.5601676867356133], [0.9747107475828561], [-0.5049907843472471]]","[[-1.6445026880594724], [-22.374919981577808], [-3.278241487638602]]","[[1.0070665290996317], [0.8354095503241064]]","[[0.005441526757010706], [0.0001777426338556154]]",[[0.10435688603339703]],[[0.0024882870940302684]]
48,"[[-0.5634510444468568], [1.1517259358962626], [-0.4839043737611145]]","[[-0.07299370757110549], [-0.01366179756085717], [0.08858580677196441]]","[[-0.5607466073516967], [0.9744989125201653], [-0.5044788024051383]]","[[-1.642377508753876], [-22.388687975896676], [-3.3232307726898602]]","[[1.0076055761175615], [0.83542763100082]]","[[0.005344930501682832], [0.00018302449522611397]]",[[0.10437051768829278]],[[0.0019303016422791194]]
49,"[[-0.5641855215991529], [1.151587879438662], [-0.48302346043996613]]","[[-0.07194272966830778], [-0.013990074240647077], [0.08733903691566434]]","[[-0.5613149433814093], [0.9742900680436463], [-0.5039702692458895]]","[[-1.6400811738515473], [-22.401775843009847], [-3.3668005598039636]]","[[1.0081350173285255], [0.8354462079584287]]","[[0.0052493714953527615], [0.0001877104207514968]]",[[0.10437889739954097]],[[0.0014062330021547536]]
50,"[[-0.5649092929308371], [1.151446715702291], [-0.48215506853913387]]","[[-0.07088974711186527], [-0.014283389217601222], [0.0860876663108737]]","[[-0.5618728462443575], [0.9740842157794659], [-0.5034654604488548]]","[[-1.637627699591663], [-22.414216590937457], [-3.409003521046027]]","[[1.0086549591263734], [0.8354652235653872]]","[[0.005154897902293065], [0.00019183751842621888]]",[[0.10438235423231905]],[[0.000914529980268539]]
51,"[[-0.565622348451045], [1.1513027842824868], [-0.48129923382204903]]","[[-0.06983614689059674], [-0.014543691416894405], [0.08483354005879302]]","[[-0.5624204701577364], [0.9738813524047449], [-0.5029646305539605]]","[[-1.6350304300786982], [-22.426041996191085], [-3.449890786180997]]","[[1.0091655124729173], [0.8354846237960546]]","[[0.00506155332509195], [0.00019544090582579443]]",[[0.1043812020093934]],[[0.00045370175130194333]]
52,"[[-0.5663246915929246], [1.1511564057364703], [-0.4804559742344114]]","[[-0.06878322433397654], [-0.01477284334326423], [0.08357838334349814]]","[[-0.5629579717105712], [0.9736814700721662], [-0.5024680140033384]]","[[-1.632302059769386], [-22.43728263221868], [-3.4895119554308645]]","[[1.0096667924536962], [0.8355043580368631]]","[[0.004969377025099142], [0.00019855380893885055]]",[[0.10437573990913289]],[[2.231566625732033e-05]]
53,"[[-0.5670163383142336], [1.1510078824310164], [-0.4796252910755302]]","[[-0.06773218756846093], [-0.014972624186756767], [0.08232380681982282]]","[[-0.5634855094625953], [0.973484556818498], [-0.5019758260559172]]","[[-1.6294546545507156], [-22.447967896154335], [-3.527915114204048]]","[[1.0101589178554276], [0.835524378902164]]","[[0.004878404136166026], [0.00020120765718001365]]",[[0.10436625304125298]],[[-0.0003810049342561333]]
54,"[[-0.5676973162403081], [1.1508574993586176], [-0.47880717011653806]]","[[-0.06668416156315786], [-0.01514473299793695], [0.08107131186520312]]","[[-0.564003243565091], [0.9732905969281578], [-0.5014882636733472]]","[[-1.626499673559044], [-22.458126039098357], [-3.5651468499050507]]","[[1.010642010764504], [0.8355446420593732]]","[[0.004788665872279552], [0.00020343217447260642]]",[[0.10435301300177134]],[[-0.0007575826958917814]]
55,"[[-0.5683676638471756], [1.1507055249229146], [-0.478001582667313]]","[[-0.06564019202356507], [-0.01529079168681885], [0.07982229559181031]]","[[-0.5645113354029722], [0.9730995712906667], [-0.5010055063812752]]","[[-1.6234479906291082], [-22.467784193286498], [-3.6012522711113713]]","[[1.011116196185889], [0.8355651060630094]]","[[0.0047001897284459915], [0.00020525546620131507]]",[[0.10433627840842893]],[[-0.0011086881140188534]]
56,"[[-0.5690274296843949], [1.150552211694563], [-0.4772084865935836]]","[[-0.06460124930092825], [-0.015412347950893718], [0.07857805578917727]]","[[-0.5650099472750264], [0.9729114577351359], [-0.5005277170900037]]","[[-1.6203099153987695], [-22.47696840028198], [-3.6362750263610737]]","[[1.0115816016817951], [0.8355857321971892]]","[[0.004612999675779328], [0.0002067041017683735]]",[[0.1043162954165853]],[[-0.0014355414603673157]]
57,"[[-0.5696766716355791], [1.1503977971383887], [-0.4764278272860948]]","[[-0.06356823201655737], [-0.015510878104406822], [0.07733979559120102]]","[[-0.565499242085353], [0.9727262313348868], [-0.5000550429239202]]","[[-1.6170952140456887], [-22.48570363991553], [-3.6702573299008794]]","[[1.0120383570294873], [0.8356064843261659]]","[[0.00452711634955083], [0.00020780319303081995]]",[[0.1042932982167146]],[[-0.0017393145320406048]]
58,"[[-0.5703154562152329], [1.150242504312768], [-0.47565953858339727]]","[[-0.06254197062221122], [-0.015587789803173796], [0.07610862803722421]]","[[-0.5659793830624774], [0.972543864683481], [-0.4995876160096425]]","[[-1.6138131296494589], [-22.49401386097007], [-3.703239986719934]]","[[1.0124865938975598], [0.8356273287525399]]","[[0.004442557230999178], [0.0002085764695070047]]",[[0.10426750951413735]],[[-0.0020211323870221194]]
59,"[[-0.5709438579005499], [1.150086542541771], [-0.4749035436497431]]","[[-0.061523230792282585], [-0.01564442475813746], [0.07488558053042854]]","[[-0.5664505334894661], [0.9723643281719376], [-0.4991255541961504]]","[[-1.6104724012143017], [-22.50192200794711], [-3.7352624122019167]]","[[1.0129264455400846], [0.8356482340828143]]","[[0.004359336823389626], [0.00020904635028573537]]",[[0.10423914099148078]],[[-0.0022820750177140574]]
